group,provider_model,model_name,gt_depth,n,n_correct,percent_correct
base_misaligned,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,8,139,57,41.01
base_misaligned,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,10,113,36,31.86
base_misaligned,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,12,46,9,19.57
base_misaligned,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,14,1,0,0.00
base_misaligned,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,16,1,0,0.00
base_misaligned,openai/gpt-4o_chat,gpt-4o,2,30,16,53.33
base_misaligned,openai/gpt-4o_chat,gpt-4o,4,56,24,42.86
base_misaligned,openai/gpt-4o_chat,gpt-4o,6,114,35,30.70
base_misaligned,openai/gpt-4o_chat,gpt-4o,8,139,35,25.18
base_misaligned,openai/gpt-4o_chat,gpt-4o,10,113,21,18.58
base_misaligned,openai/gpt-4o_chat,gpt-4o,12,46,5,10.87
base_misaligned,openai/gpt-4o_chat,gpt-4o,14,1,0,0.00
base_misaligned,openai/gpt-4o_chat,gpt-4o,16,1,0,0.00
mystery,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,2,30,0,0.00
mystery,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,4,56,1,1.79
mystery,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,6,114,1,0.88
mystery,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,8,139,1,0.72
mystery,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,10,113,0,0.00
mystery,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,12,46,0,0.00
mystery,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,14,1,0,0.00
mystery,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,16,1,0,0.00
mystery,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,2,30,0,0.00
mystery,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,4,56,0,0.00
mystery,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,6,114,1,0.88
mystery,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,8,139,1,0.72
mystery,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,10,113,0,0.00
mystery,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,12,46,0,0.00
mystery,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,14,1,0,0.00
mystery,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,16,1,0,0.00
mystery,openai/gpt-4o_chat,gpt-4o,2,30,0,0.00
mystery,openai/gpt-4o_chat,gpt-4o,4,56,0,0.00
mystery,openai/gpt-4o_chat,gpt-4o,6,114,0,0.00
mystery,openai/gpt-4o_chat,gpt-4o,8,139,0,0.00
mystery,openai/gpt-4o_chat,gpt-4o,10,113,0,0.00
mystery,openai/gpt-4o_chat,gpt-4o,12,46,0,0.00
mystery,openai/gpt-4o_chat,gpt-4o,14,1,0,0.00
mystery,openai/gpt-4o_chat,gpt-4o,16,1,0,0.00
random,random_blocksworld/google,gemini-2.0-flash-001,2,30,0,0.00
random,random_blocksworld/google,gemini-2.0-flash-001,4,56,0,0.00
random,random_blocksworld/google,gemini-2.0-flash-001,6,114,0,0.00
random,random_blocksworld/google,gemini-2.0-flash-001,8,139,0,0.00
random,random_blocksworld/google,gemini-2.0-flash-001,10,113,0,0.00
random,random_blocksworld/google,gemini-2.0-flash-001,12,46,0,0.00
random,random_blocksworld/google,gemini-2.0-flash-001,14,1,0,0.00
random,random_blocksworld/google,gemini-2.0-flash-001,16,1,0,0.00
random,random_blocksworld/meta-llama,llama-3.1-405b,2,30,0,0.00
random,random_blocksworld/meta-llama,llama-3.1-405b,4,56,0,0.00
random,random_blocksworld/meta-llama,llama-3.1-405b,6,114,0,0.00
random,random_blocksworld/meta-llama,llama-3.1-405b,8,139,0,0.00
random,random_blocksworld/meta-llama,llama-3.1-405b,10,113,0,0.00
random,random_blocksworld/meta-llama,llama-3.1-405b,12,46,0,0.00
random,random_blocksworld/meta-llama,llama-3.1-405b,14,1,0,0.00
random,random_blocksworld/meta-llama,llama-3.1-405b,16,1,0,0.00
random,random_blocksworld/openai,gpt-4o,2,30,0,0.00
random,random_blocksworld/openai,gpt-4o,4,56,0,0.00
random,random_blocksworld/openai,gpt-4o,6,114,0,0.00
random,random_blocksworld/openai,gpt-4o,8,139,0,0.00
random,random_blocksworld/openai,gpt-4o,10,113,0,0.00
random,random_blocksworld/openai,gpt-4o,12,46,0,0.00
random,random_blocksworld/openai,gpt-4o,14,1,0,0.00
random,random_blocksworld/openai,gpt-4o,16,1,0,0.00
