2026-03-28 21:08:11,270 | pddl_planner.planner | DEBUG | Building SSA for predicate: the agent is holding any objects
2026-03-28 21:08:18,062 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:18,063 | pddl_planner.llm | DEBUG | Substitution: {} between "is on top of(orange, red)" and "block  is directly above block(orange, red)"
2026-03-28 21:08:18,063 | pddl_planner.llm | DEBUG | Permutation: () for keys []
2026-03-28 21:08:18,063 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:18,063 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,063 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:18,064 | pddl_planner.planner | INFO | Predicate "orange is on top of red" (name="is on top of") not in domain — attempting LLM entailment
2026-03-28 21:08:18,064 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:18,064 | pddl_planner.llm | DEBUG | Substitution: {?b2: red, ?b1: orange} between "is on top of(orange, red)" and "block  is directly above block(?b1, ?b2)"
2026-03-28 21:08:18,064 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [?b2, ?b1]
2026-03-28 21:08:18,064 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [?b2, ?b1]
2026-03-28 21:08:18,064 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:18,064 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,065 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:18,067 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:18,067 | pddl_planner.llm | DEBUG | Substitution: {} between "is on top of(orange, red)" and "block  is directly above block(orange, red)"
2026-03-28 21:08:18,067 | pddl_planner.llm | DEBUG | Permutation: () for keys []
2026-03-28 21:08:18,067 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:18,067 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,067 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:18,069 | pddl_planner.planner | INFO | Predicate "orange is on top of red" (name="is on top of") not in domain — attempting LLM entailment
2026-03-28 21:08:18,069 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:18,070 | pddl_planner.llm | DEBUG | Substitution: {?b2: red, ?b1: orange} between "is on top of(orange, red)" and "block  is directly above block(?b1, ?b2)"
2026-03-28 21:08:18,070 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [?b2, ?b1]
2026-03-28 21:08:18,070 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [?b2, ?b1]
2026-03-28 21:08:18,070 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:18,070 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,070 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:18,073 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:18,073 | pddl_planner.llm | DEBUG | Substitution: {} between "is on top of(orange, red)" and "block  is directly above block(orange, red)"
2026-03-28 21:08:18,073 | pddl_planner.llm | DEBUG | Permutation: () for keys []
2026-03-28 21:08:18,074 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:18,074 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,074 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:18,074 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:18,074 | pddl_planner.llm | DEBUG | Substitution: {} between "is on top of(orange, red)" and "block  is directly above block(orange, red)"
2026-03-28 21:08:18,074 | pddl_planner.llm | DEBUG | Permutation: () for keys []
2026-03-28 21:08:18,075 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:18,075 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,075 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:18,075 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:18,075 | pddl_planner.llm | DEBUG | Substitution: {} between "is on top of(orange, red)" and "block  is directly above block(orange, red)"
2026-03-28 21:08:18,075 | pddl_planner.llm | DEBUG | Permutation: () for keys []
2026-03-28 21:08:18,075 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:18,075 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,075 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:18,076 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:18,076 | pddl_planner.llm | DEBUG | Substitution: {} between "is on top of(orange, red)" and "block  is directly above block(orange, red)"
2026-03-28 21:08:18,076 | pddl_planner.llm | DEBUG | Permutation: () for keys []
2026-03-28 21:08:18,076 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:18,076 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,076 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:18,078 | pddl_planner.planner | INFO | Depth 1/4 [#####---------------] | 6.75s elapsed | 0 nodes in frontier
2026-03-28 21:08:18,108 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:18,109 | pddl_planner.llm | DEBUG | Substitution: {?V41: red} between "is on top of(orange, red)" and "block  is directly above block(orange, ?V41)"
2026-03-28 21:08:18,109 | pddl_planner.llm | DEBUG | Permutation: (red,) for keys [?V41]
2026-03-28 21:08:18,109 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:18,109 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,109 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:18,110 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:18,110 | pddl_planner.llm | DEBUG | Substitution: {} between "is on top of(orange, red)" and "block  is directly above block(orange, red)"
2026-03-28 21:08:18,110 | pddl_planner.llm | DEBUG | Permutation: () for keys []
2026-03-28 21:08:18,111 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:18,111 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,111 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:18,111 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:18,111 | pddl_planner.llm | DEBUG | Substitution: {?V40: orange} between "is on top of(orange, red)" and "block  is directly above block(?V40, red)"
2026-03-28 21:08:18,111 | pddl_planner.llm | DEBUG | Permutation: (orange,) for keys [?V40]
2026-03-28 21:08:18,112 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:18,112 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,112 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:18,119 | pddl_planner.planner | INFO | Depth 2/4 [##########----------] | 6.79s elapsed | 3 nodes in frontier
2026-03-28 21:08:18,222 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:18,222 | pddl_planner.llm | DEBUG | Substitution: {?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, red)"
2026-03-28 21:08:18,222 | pddl_planner.llm | DEBUG | Permutation: (orange,) for keys [?V46]
2026-03-28 21:08:18,222 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:18,222 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,222 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:18,223 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:18,224 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:18,224 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:18,224 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:18,224 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:18,224 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,224 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:18,228 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:18,228 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:18,228 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:18,228 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:18,228 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:18,228 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,228 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:18,233 | pddl_planner.planner | INFO | Depth 2/4 [##########----------] | 6.90s elapsed | 5 nodes in frontier
2026-03-28 21:08:18,249 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:18,250 | pddl_planner.llm | DEBUG | Substitution: {?V53: red} between "is on top of(orange, red)" and "block  is directly above block(orange, ?V53)"
2026-03-28 21:08:18,250 | pddl_planner.llm | DEBUG | Permutation: (red,) for keys [?V53]
2026-03-28 21:08:18,250 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:18,250 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,250 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:18,251 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:18,251 | pddl_planner.llm | DEBUG | Substitution: {?V53: red, red: orange} between "is on top of(orange, red)" and "block  is directly above block(red, ?V53)"
2026-03-28 21:08:18,251 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [?V53, red]
2026-03-28 21:08:18,251 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [?V53, red]
2026-03-28 21:08:18,251 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:18,251 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,251 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:18,253 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:18,253 | pddl_planner.llm | DEBUG | Substitution: {?V53: red, red: orange} between "is on top of(orange, red)" and "block  is directly above block(red, ?V53)"
2026-03-28 21:08:18,253 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [?V53, red]
2026-03-28 21:08:18,253 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [?V53, red]
2026-03-28 21:08:18,253 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:18,253 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,253 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:18,255 | pddl_planner.planner | INFO | Depth 2/4 [##########----------] | 6.93s elapsed | 5 nodes in frontier
2026-03-28 21:08:18,256 | pddl_planner.planner | INFO | Predicate "?V40 is on top of red" (name="is on top of") not in domain — attempting LLM entailment
2026-03-28 21:08:18,256 | pddl_planner.llm | INFO | Checking entailment for "?V40 is on top of red"
2026-03-28 21:08:18,256 | pddl_planner.llm | DEBUG | Substitution: {?b2: red, ?b1: ?V40} between "is on top of(?V40, red)" and "block  is directly above block(?b1, ?b2)"
2026-03-28 21:08:18,256 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [?b2, ?b1]
2026-03-28 21:08:18,256 | pddl_planner.llm | DEBUG | Permutation: (red, ?V40) for keys [?b2, ?b1]
2026-03-28 21:08:18,256 | pddl_planner.llm | DEBUG | Querying LLM for 5 additional samples
2026-03-28 21:08:19,525 | pddl_planner.llm | DEBUG | API call completed in 1.269s (model=gpt-5.4-mini)
2026-03-28 21:08:21,128 | pddl_planner.llm | DEBUG | API call completed in 1.602s (model=gpt-5.4-mini)
2026-03-28 21:08:22,471 | pddl_planner.llm | DEBUG | API call completed in 1.340s (model=gpt-5.4-mini)
2026-03-28 21:08:23,245 | pddl_planner.llm | DEBUG | API call completed in 0.774s (model=gpt-5.4-mini)
2026-03-28 21:08:24,037 | pddl_planner.llm | DEBUG | API call completed in 0.791s (model=gpt-5.4-mini)
2026-03-28 21:08:24,038 | pddl_planner.llm | INFO | Entailment vote: "?V40 is on top of red" entailed by "block ?V40 is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:24,038 | pddl_planner.llm | INFO | Entailment found: "is on top of(?V40, red)" -> "block  is directly above block"
2026-03-28 21:08:24,046 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:24,047 | pddl_planner.llm | DEBUG | Substitution: {?V40: orange} between "is on top of(orange, red)" and "block  is directly above block(?V40, red)"
2026-03-28 21:08:24,047 | pddl_planner.llm | DEBUG | Permutation: (orange,) for keys [?V40]
2026-03-28 21:08:24,047 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:24,047 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:24,047 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:24,048 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:24,048 | pddl_planner.llm | DEBUG | Substitution: {?V40: orange} between "is on top of(orange, red)" and "block  is directly above block(?V40, red)"
2026-03-28 21:08:24,048 | pddl_planner.llm | DEBUG | Permutation: (orange,) for keys [?V40]
2026-03-28 21:08:24,048 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:24,048 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:24,048 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:24,050 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:24,050 | pddl_planner.llm | DEBUG | Substitution: {?V40: orange} between "is on top of(orange, red)" and "block  is directly above block(?V40, red)"
2026-03-28 21:08:24,050 | pddl_planner.llm | DEBUG | Permutation: (orange,) for keys [?V40]
2026-03-28 21:08:24,050 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:24,050 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:24,050 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:24,052 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:24,052 | pddl_planner.llm | DEBUG | Substitution: {?V40: orange} between "is on top of(orange, red)" and "block  is directly above block(?V40, red)"
2026-03-28 21:08:24,052 | pddl_planner.llm | DEBUG | Permutation: (orange,) for keys [?V40]
2026-03-28 21:08:24,052 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:24,052 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:24,052 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:24,056 | pddl_planner.planner | INFO | Predicate "?V40 is on top of red" (name="is on top of") not in domain — attempting LLM entailment
2026-03-28 21:08:24,056 | pddl_planner.llm | INFO | Checking entailment for "?V40 is on top of red"
2026-03-28 21:08:24,056 | pddl_planner.llm | DEBUG | Substitution: {?b2: red, ?b1: ?V40} between "is on top of(?V40, red)" and "block  is directly above block(?b1, ?b2)"
2026-03-28 21:08:24,056 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [?b2, ?b1]
2026-03-28 21:08:24,056 | pddl_planner.llm | DEBUG | Permutation: (red, ?V40) for keys [?b2, ?b1]
2026-03-28 21:08:24,057 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "?V40 is on top of red" vs "block ?V40 is directly above block red"
2026-03-28 21:08:24,057 | pddl_planner.llm | INFO | Entailment vote: "?V40 is on top of red" entailed by "block ?V40 is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:24,057 | pddl_planner.llm | INFO | Entailment found: "is on top of(?V40, red)" -> "block  is directly above block"
2026-03-28 21:08:24,060 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:24,060 | pddl_planner.llm | DEBUG | Substitution: {?V40: orange} between "is on top of(orange, red)" and "block  is directly above block(?V40, red)"
2026-03-28 21:08:24,060 | pddl_planner.llm | DEBUG | Permutation: (orange,) for keys [?V40]
2026-03-28 21:08:24,061 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:24,061 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:24,061 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:24,062 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:24,062 | pddl_planner.llm | DEBUG | Substitution: {?V40: orange} between "is on top of(orange, red)" and "block  is directly above block(?V40, red)"
2026-03-28 21:08:24,062 | pddl_planner.llm | DEBUG | Permutation: (orange,) for keys [?V40]
2026-03-28 21:08:24,062 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:24,062 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:24,062 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:24,063 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:24,063 | pddl_planner.llm | DEBUG | Substitution: {?V40: orange} between "is on top of(orange, red)" and "block  is directly above block(?V40, red)"
2026-03-28 21:08:24,063 | pddl_planner.llm | DEBUG | Permutation: (orange,) for keys [?V40]
2026-03-28 21:08:24,064 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:24,064 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:24,064 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:24,068 | pddl_planner.planner | INFO | Predicate "?V40 is on top of red" (name="is on top of") not in domain — attempting LLM entailment
2026-03-28 21:08:24,069 | pddl_planner.llm | INFO | Checking entailment for "?V40 is on top of red"
2026-03-28 21:08:24,069 | pddl_planner.llm | DEBUG | Substitution: {?b2: red, ?b1: ?V40} between "is on top of(?V40, red)" and "block  is directly above block(?b1, ?b2)"
2026-03-28 21:08:24,069 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [?b2, ?b1]
2026-03-28 21:08:24,069 | pddl_planner.llm | DEBUG | Permutation: (red, ?V40) for keys [?b2, ?b1]
2026-03-28 21:08:24,069 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "?V40 is on top of red" vs "block ?V40 is directly above block red"
2026-03-28 21:08:24,069 | pddl_planner.llm | INFO | Entailment vote: "?V40 is on top of red" entailed by "block ?V40 is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:24,069 | pddl_planner.llm | INFO | Entailment found: "is on top of(?V40, red)" -> "block  is directly above block"
2026-03-28 21:08:24,085 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
